#,Team,Player,H,W,P,School,C,url,Strengths,Weaknesses
11,Charlotte,Kevin Knox,6-9,215,SF/PF,Kentucky,Fr.,http://www.nbadraft.net/players/kevin-knox,"Solid frame, standing 6'9"", 218 pounds, with 7.14% body fat ... Size and length can result in matchup problems for opposing teams. 7' &frac14;"" wingspan. 36 &frac12;"" vertical allows him to rebound over smaller players with relative ease ... Has solid shot mechanics that should translate well to the next level as he already has NBA range ... Is very good at scoring going to the basket, especially with one handed floaters that he can get over virtually any defender ... Can score from the post, allowing for a versatile offensive attack ... Steady improvement throughout his freshman season. Started off poorly on defense to start his college career, but has shown significant growth, especially in terms of staying in front of ball handlers ... Looks to get out in transition when given the opportunity and runs lanes well for the most part, and looks to get to the rim ... Rarely makes careless passes and doesn't stagnate the offense by over dribbling ... Moves well off the ball and uses off ball screens very well to create separation from defenders ... Excellent catch and shoot player from midrange, especially along the baseline ... Can shoot over most defenders and is not afraid to look for his own offense ... When he needs to rebound, can rebound very well ... Won't turn 19 until August 11th. One of the youngest freshmen in college this season, and still has a lot of room to grow ... Reason to believe that his game will develop ... Has the potential to be a solid all around player that can do many different things ...","Motor can run hot and cold, when engaged he is very good, but when not fully engaged he can disappear completely ... His overall game can be affected by his shot, when the shot isn't falling he can start to lose focus ... Possesses poor court vision mainly due to keeping his head down when handling the ball, which can lead to turnovers and offensive fouls ... Rarely passes the ball in transition, even if it results in him attacking the rim in a 3-on-1 situation ... Will be at a speed and quickness disadvantage against small forwards at the next level ... When the offense goes through other players, he will often coast instead of focusing on rebounding or defense ... Has a tendency to force or settle for long shots instead of attacking defenders ... Has only one move in the post, will need to develop his repertoire further to have success on the low block at the next level ... Not a very efficient player, although some of that is because Kentucky's reliance on him offensively, allowing defenses to key on him ... Doesn't have a noticeable killer instinct or edge to him, sometimes looks content to blend, instead of stand out despite having an immense amount of talent ... Struggles at times to create his own offense as he has difficulty getting past opponents."
12,LA Clippers,Shai Gilgeous-Alexander,6-6,180,PG,Kentucky,Fr.,http://www.nbadraft.net/players/shai-gilgeous-alexander,,
13,LA Clippers,Miles Bridges,6-7,230,SF/PF,Michigan St.,So.,http://www.nbadraft.net/players/miles-bridges,"6'6 powerfully built combo forward ... Has great strength. freakishly explosive, dunks everything possible. Great body control and confidence ... High energy player. Brings consistent aggression every possession of every game ... A true competitor ... Shooting has shown improvement in the past year ... Has the ability to make shots from a variety of spots on the floor ... Added an in-and-out crossover to beat the first line of defense ... Tremendous rebounder for a wing, gets boards in and out of his area. Great shot blocker for a wing, elevates quickly. Quick first step ... Very good ambidexterity as a finisher on layups and dunks. Has an array of floaters and layups off of spin moves in the paint ... Solid court vision and passing ability ... Has shown great improvement throughout high school career ... Good at drawing fouls. Plays well in traffic and through contact ... Lateral quickness is good and gives hope of him transitioning to a full time SF ...","""Classic tweener"" ... His NBA position remains a big question mark as he is severely underzied for the post and doesn't have polished perimeter skills at this point ... His shooting has drastically improved in the past year but he still doesn't shoot with consistency yet ... Has a low release and doesn't exhibit a fluid shooting form ... He usually shoots from three or gets all the way to the rim, his midrange game will need to improve moving forward ... Needs to improve ball handling ability and overall perimeter skills ... More effective in catch and shoot than pulling up ... Undersized for a player that spends a majority of time in the paint but shows potential to guard multiple positions ... Has some ball handling ability, but it's a high dribble that must be tightened and proven against real competition ... Relies on superior strength and athleticism ... Creating offense will be much more difficult at the next level ..."
14,Denver,Lonnie Walker,6-4,200,SG,Miami,Fr.,http://www.nbadraft.net/players/lonnie-walker,"Stands 6'4"" and weighs just over 200 pounds ... Long arms should allow him to develop into a pest defensively ... Has excellent body control, especially when attacking the basket ... Is able to contort around defenders to finish and draw contact ... Accepts contact and is physical enough that it's difficult to bump him off his cuts ... Likes to have the ball in his hand and can shoot from distance or attack off the dribble ... Aggressively looks to score both in half court sets as well as in transition ... Decent three point shooter at the college level, but form indicates that with small adjustments should be able to improve his percentage ... Has a solid frame that should be able to fill out nicely as he matures ... Has a quick first step that allows him to beat defenders off the bounce, but doesn't take advantage of this quite as much as he probably should ... Is unafraid of the big moment and will look to create offense when his team needs it most ... Creativity allows him to find angles that defenders aren't ready for ... Is able to get defenders off balance with his ball handling ...","Lacks defensive intensity, especially off the ball, as he has a habit of floating around the court instead of remaining engaged ... Looks lost at times on offense when the ball isn't in his hands ... Needs to have the ball in order to be a threat offensively, but likely won't be the primary option on offense, will need to develop his off the ball game. Staying more active and using teammates to run his defender off screens to create open looks ... Has a narrow shot base on his jumper, which makes it easier for him to find himself off balance on jump shots ... Has a tendency to settle for jump shots instead of probing the defense ... Focuses on scoring and as a result will sometimes force his offense or miss passing to an open teammate ... Needs to improve his court vision, especially in drive and kick opportunities ... Needs to ensure that he plays hard all the time, sometimes appears to be trying to conserve energy for the offensive end ... Not an efficient scorer, projects more as a volume scorer ... Should get to the free throw line more than he does, but will need to improve his free throw percentage to feel comfortable going to the charity stripe often ..."
15,Washington,Khyri Thomas,6-3,210,PG/SG,Creighton,Jr.,http://www.nbadraft.net/players/khyri-thomas,"Late blooming shooting guard with a picture perfect shooting stroke ... Undersized at 6'3 for the two position but has a 6'10 wingspan allowing him to play bigger ... Very controlled game, stays on balance, won't rattle easily, doesn't bite on fakes, composed, mature game ... Shows a lot of determination and competitiveness ... Adept in iso situations. Hunts shots ... Shows excellent hesitation moves and knows how to free himself for looks ... Utilizes crossovers and stop and start dribble moves well to freeze defenders or get them off balance ... Composed defensive player who anticipates well and generally doesn't gamble or overplay passing lanes ... Uses his big wingspan well to disrupt opponents looks and passing lanes ... Hits nearly two 3s per game on a very solid 38% clip ... A career college 40% three point shooter ... His length gives him additional time and space for looks ... Quality decision maker, showing a value for possessions ... Solid a/to efficiency at 3 to 1.7, however more comfortable playing at the 2 position ... Comfortable handling the ball in traffic and creating offense for himself ... Very strong frame, excellent body strength to complete drives and not get knocked off his path by bigger opponents ... Quality free throw shooter, showing improvement each season ... Good rebounder for a guard, though his rebounding has curiously fallen off from his sophomore to junior seasons (5.8 to 4.1) ... Very good midrange game, and understands how to post up a smaller defender and make plays around the basket ... Doesn't often settle for bad looks ... Gets feet set quickly. Stays on balance and has good form with follow through ... Good touch around the rim ... Finishes well after contact ... Has developed a tear drop that he utilizes to finish over bigmen in the paint ... Solid drive and dish player ... Uses his body well to screen off the defenders for shots and getting a body into shot blockers ...","The age of a senior. Turns 22 in May giving him less upside compared with most of the other prospects available for this year's draft. Likely cannot afford to wait another season to enter draft ... Not adept as a facilitator/ball handler in pick and roll situations ... A solid athlete with good efficiency in transition, however he lacks elite explosiveness ... Could be more aggressive taking the ball to the basket and drawing contact and free throw opportunities ... At times seems too content to park in the corner and look for catch and shoot opportunities ... May struggle to free himself against bigger and better athletes as he lacks a great first step ... Solid passer though not a player that necessarily creates open looks for others with his passing ... Appears to be more of a 2 foot jumper making him a little less fluid in finishing on the break ... Could improve upon his ability to set up defenders running them off of screeens and staying more active off the ball ..."
16,Phoenix,Robert Williams,6-9,240,PF/C,Texas A&M,So.,http://www.nbadraft.net/players/robert-williams,"Possesses really nice combination of size and athleticism ... His huge (near 7'6) wingspan allows him to block shots and play bigger than his 6'9 height ... 240 pound frame prevents him from being bullied around the rim ... Moves very well for his size, both with and without the ball ... Does a good job of anticipating where missed shots will go and is very good and getting position inside ... Rebounds the ball high in the air, doesn't just let the ball come to him ... High rebounding rate on both ends of the court (12% offensive rebound rate, 23.7 defensive rebound rate for his career) ... Rebounds with two hands and grabs boards both inside and outside of his area ... High level shot blocker, uses anticipation, length and vertical to deny shots near the rim ... Has worked to develop an offensive repertoire both facing up and on the low block ... Can use his explosive leaping ability to finish strong around the rim and has the strength to power through contact ... Wants to play a physical brand of basketball which allows him to not only get to the free throw line, but also cause foul trouble for opponents ... Not a black hole in the post, is willing to pass it back out and repost ... Should be able to add muscle to his frame still ... Doesn't find himself in foul trouble often ... Progressed from lower ranked prospect to a possible lottery pick ... ","Has a tendency to leave you wanting more. Disappears for stretches of games, particularly offensively ... Competitive level has been questioned by some ... Doesn't always seem in control on the court, opponents can speed him up and make him uncomfortable ... Has been working to extend his range, but still lacks any consistency with his jump shot ... Very poor free throw shooter who needs work on his shot mechanics ... Sometimes relies too much on his athleticism ... Still a raw prospect who, despite making a big leap in development his freshman year, didn't progress nearly as much as a sophomore ... Can become complacent when the offense is flowing through teammates ... Inconsistent performer, especially as a scorer ... Can struggle to make major offensive impact when he doesn't have the physical advantage over his competition ... Has a habit of posting in space instead of fighting his opponent for position ... Some of his deficiencies have been covered up by playing in Texas A&amp;M's frontcourt (along with Tyler Davis) where teams can't double Williams ... Sometimes can find himself out of position defensively, this can likely be remedied with more experience, however ... Was suspended to start sophomore season, raising some red flags ... "
17,Milwaukee,Mitchell Robinson,7-1,225,C,USA,Fr.,http://www.nbadraft.net/players/mitchell-robinson,,
18,San Antonio,Zhaire Smith,6-5,195,SG,Texas Tech,Fr.,http://www.nbadraft.net/players/zhaire-smith,"Has an underrated feel for the game ... High basketball IQ ... Versatile swingman ... Exceptional athleticism and bounce ... 45-inch vertical ... Has great leaping ability off of two feet ... Quick feet ... Possesses a combination of fluidity and explosiveness ... Powerful build ... Excellent length for his size (6'9' wingspan) ... Plays with high energy ... Developing jumper ... Knows how to read the floor and makes smart passes ... Passes up good looks for great ones ... Has quick decision-making ability, especially in transition as he finds his teammates ... Great cutter and finisher at the rim ... Active as an off-ball screener ... Looks for different ways to get his teammates open ... Shows great awareness in traffic/in the paint ... Doesn't look to force tough shots over bigger defenders ... Makes good use of up-fakes to creates shots for himself and his teammates ... Gets after it on the defensive end on and off the ball ... Displays great defensive instincts and effort ... Good shot blocker for a wing player ... Can guard multiple positions 1-4 at college level ... Shows tenacity in fighting through screens ... Great offensive rebounder ... A constant threat for putbacks ... Has knack for being the right position to make plays on both ends of the floor ... His athleticism allows him to cover ground quickly, which makes him a threat to block shots from the weak side ... Leaves shooters little to no airspace ... His length (and hops) is a huge problem for the opposition when he's contesting shots ... Has great anticipation as a shot blocker ... Has a knack for chase-down blocks are routine for him ... Has a promising shooting form with touch ...","As promising as he is, he's still a project offensively ... Isn't a number one scoring or playmaking option at this time ... He's a capable shooter, but this area still needs work ... Shooting form is not fluid (misses shots badly) ... Reluctant to shoot threes ... Needs to show continued improvement on his three-point shot and free-throws ... Ball-handling needs to become more advanced ... Playmaking (needs more development as a shot creator) ... Relies heavily on his teammates to make plays for him ... Needs to show he can get off his own shot ... Takes questionable shots ... Ends up in on no man's land on defense at times ... Shot a very impressive 45% from 3 as a freshman, however it was on a low volume of shots (18/40) ... is a player that likely will take more time than most to reach his potential, though he should be able to hang with NBA level athletes from the time he begins his NBA career ..."
19,Atlanta,Anfernee Simons,6-3,180,PG/SG,Undecided,HSSr.,http://www.nbadraft.net/players/anfernee-simons,"6'3.5 combo guard with solid length: a 6'7 wingspan and 8'2 standing reach ... Good perimeter scorer ... Led the Under Armour Association in scoring with 20.4 points per game and averaged 11.6 points per game at the NBPA Top 100 ... Shot 43.9% from the floor over the Under Armour Association and 43.3% at the NBPA Top 100 ... Shoots very well and consistent from three off both the catch and dribble ... Finished second on the Under Armour Association in 3PT% at 42.2% while making 3.3 per game ... He also shot 41.7% from three at the NBPA Top 100. Has a quick release, only needs a little bit of space to get his shot off and draws fouls on three-point attempt ... Good court vision and ball handling ability ... Shoots well off screens, also good pick and roll ball handler ... Shoots and scores well from midrange ... Solid touch on floater ... Reliable free throw shooter ... Made all 11 free throws at the NBPA Top 100 and finished third on the Under Armour Association shooting 79.1% from the line ... Quality rebounder for position. Averaged 5.5 per game over the Under Armour Association ... Above average athleticism. Excellent speed with the ball and quick first step ... Has defensive potential with his length and quickness ... Averaged 1.3 steals per game over the Under Armour Association ... ","Body is still a long ways from being NBA ready ... Labeled as a combo guard but can improve point guard and playmaking skills ... Doesn't have a high assist count yet ... Usually played off the ball but only averaged 1.3 assists per game over the Under Armour Association ... Finished with 12 assists to 13 turnovers at the NBPA Top 100 ... Although shot is quick, he has a bit of a low release point ... Good athlete and although smooth, he's not incredibly explosive ... Lacks strength, only weighed 181 pounds at USA Basketball ... Although his weaknesses can improve, he's behind when comparing him to other draft eligible prospects ..."
20,Minnesota,Gary Trent Jr.,6-6,215,SG,Duke,Fr.,http://www.nbadraft.net/players/gary-trent-jr,"Strong 6'6, 215-pound body frame for an NBA 2-guard ... Tough and physical swingman ... Fundamentally sound player ... Known for being a high level shooter, especially from beyond the arc ... Compact and consistent jumper ... Sweet shooting touch ... Can shoot the three off screens or pull-up in mid-range spots ... Impressive scoring instincts/shot-maker ... Clutch player who wants the ball in his hands at the end of games ... Can finish through contact ... Makes good use of floaters and improvised runners in the lane ... Knows his strengths and plays with great technique ... Not afraid of taking big shots in big situations ... Can get hot from three by both spotting up and off the dribble ... Has very good range on his jumper ... Decent scorer off the dribble ... Can score off the move and from all three levels ... Excellent free throw shooter ... A successful scorer in the open floor ... A good scorer on straight line drives ... Adequate playmaker ... Uses his size to gain post position and to clear space for rebounding ... Good rebounder ... Plays with poise ... Exhibits solid decision making and passing ability ... Can drive the ball effectively with either hand ... Aggressive player and will crash the glass on both ends ... When he's locked in defensively and competing, he can move his feet and stay in front of his man ... Strong enough to switch onto bigger players ... Aggressive in playing the passing lanes ... Has good instincts for coming up with steals ... Built a reputation for being a high character kid and a leader ... Bloodlines and growing up around the game give him a leg up on competition ...",
21,Utah,Troy Brown,6-7,215,PG/SG,Oregon,Fr.,http://www.nbadraft.net/players/troy-brown,"All-around player with serious versatility on both ends ... Big time athlete/high-flyer ... Perfect size/length to play the wing position at the next level ... Solid 6'6"" frame ... Has a near 7-foot wingspan ... Quick first step/good footspeed overall ... Possesses good quickness and agility, which he shows off well on the perimeter ... Strong passer/playmaking wing ... Has unique point-forward ball skills and vision ... Played point guard in high school so he still has the ability to initiate offense ... Reads the floor well ... Can execute tough passes ... Can deliver the ball quickly and accurately ... Tight handle ... Can create in space ... Comfortable running the pick-and-roll ... Makes plays for himself and his teammates off the bounce ... Likes to put the ball on the floor at attack closeouts ... Goes straight at the defense ... Doesn't have elite burst but makes good use of his long strides to get downhill ... Natural scorer ... Majority of his points come from the mid-range and inside ... Can post-up smaller matchups ... Has a nice fade-away jumper in the mid-range area ... Can got his shot off against most defenders ... Has a solid touch on his floaters and runners in traffic ... Doesn't force the action inside ... Solid defender who could bring a lot of versatility at the next level defending multiple positions ... Can be a pesky defender ... Fights through screens ... He can stay with quicker guards with his lateral quickness and guard big men in the post area with his size ... Does well at denying the ball and plays passing lanes well ... Knows where to be when playing off the ball ... Good rebounder for his size ... Crashes the offensive glass consistently ... High IQ ... Good basketball instincts/nose for the ball ... Always seems to be part of the play ... Has a high motor ... Very outgoing and personable kid ... Very young. Won't turn 19 until July 28th ... ","Long and wiry athlete but needs to continue developing his strength ... Not super explosive vertically ... Average burst off the bounce ... Finishing at the rim/through contact are areas that he needs to work on ... Solid handle but it's not good enough for him to be primary ball handler and creator at the next level ... Needs to continue developing his jumper/shooting range ... He's not a threat from the outside, as his jumper it still too inconsistent ... Although he has nice shooting mechanics, he doesn't shoot the ball the same way every time ... Sometimes brings ball down on his shot, which delays his release ... Can be too passive on the offensive end ... Shot selection ... Can get caught playing wild and out of control ... Sometimes forces unnecessary passes ... Has a tendency to stop in the middle of traffic on his drives, which leads to turnovers ... Needs to react more quickly to rotating defenses ... Needs to be more aggressive and assertive ...Takes himself out of the game offensively if he doesn't start well ... More of sound team defender than consistent lockdown defender ..."
22,Chicago,Dzanan Musa,6-9,195,SF,Bosnia & Herz...,Intl.,http://www.nbadraft.net/players/dzanan-musa,"He is a leader and has a strong personality ... Not afraid of the big stage, since he is dealing with high expectations since he was 15 years old ... He plays with passion ... Has good size for a wing ... Versatile player who can play from point guard to small forward ... Better athlete than everyone thinks ... Has a good first step that helps him blow by opponents ... Has High basketball I.Q ... Natural scorer... He can create his own shot at a great level... Has a quick release that makes it difficult for opponents to block his shot.. Can score from anywhere on the floor... He can score off the dribble with ease ... Very good at scoring on straight line drives... Although he is a right hander he excels driving and finishing with his left hand ... He can catch fire at any time and score in bunches ... His Mid-range game has improved through the years ... He has added some floaters to his game, that have helped him evolve as a scorer ... His range has expanded and has gone all the way to up the 3-point line ... He has been used on Catch and Shot situations with mixed results, but potential is there... Good ball handler with a great change of pace dribble ... Knows how to use a screen set for him on and off the ball... Very good on Pick and Roll situations as the ball handler, can either find the rolling big or look for his own shot ... He can do the occasional coast to coast thanks to his ability to do a little be of everything ... Good passer... Has a good court vision and can find the open man when he is concentrated ... Probably the best player of his generation in Europe at creating contact and drawing fouls ... Has improved as a free thow shooter... Good rebounder for his position, expecially on the defensive block ... Knows how to read the game and make steals... Has active hands on defense ... He can be a solid defender when he is locked in... ","Playing with passion isn't always a good thing, since he occasionally gets caried away by his emotions ... He has an incosistent motor, with a lot of ups and downs even in the same game ... He is a better athlete than most think, but he is still just an average athlete by NBA standards ... He must bulk up considerably ... Has a peculiar body structure with a slight hunch back with small chest and waist, so it's not certain how he can really bulk ip ... Lacks elite explosiveness ... He doesn't really have bounce off one foot when driving to the basket ... He has a short wingspan (measured at 6-9) ... He is mostly a streaky shooter for now.. He needs to improve in Catch and Shot and Spot Up situations... His off the ball game needs work... He must learn to be effective when he doesn't have the ball in his hands... Has problems against athletic wings on both ends of the floor... Can't really finish through contact because his upper body isn't strong enough... Has problems finishing against length because of his athletic limitations... He really likes going to his left and has problems when he is forced driving to his right... His mid-range game still needs improvement.. Should add some Post moves to his arsenal to explore miss-matches... Must learn to let game come to him when his shot isn't falling and not force things.... He could improve his on the move passes... Can be turnover prone at times... His short wingspan limits him on defense... His lateral quickness is average... He is not always focused on defense, mainly because he is used to be &ldquo;The Guy""at smaller level and didn't want to spend energy on that end of the floor... Struggles on defense against explosive wings... His low stance on defense needs work... Needs to improve his off the ball defense... Gambles and goes for the steal, which adds pressure to his team... "
23,Indiana,Donte DiVincenzo,6-4,205,SG,Villanova,So.,http://www.nbadraft.net/players/donte-divincenzo,"DiVincenzo can score at will, play D, and he is very athletic and a team oriented player ... He scored 10 or more points in four of their six games during the postseason, including a team high 31 off the bench against Michigan in the title game ... DiVincenzo is a top tier athlete with a legitimate vertical to go along with his solid frame and size ... He has been known as a sharpshooter, hitting 47 percent of his field goals, 40 percent from beyond the arc and 58 percent from two-point land ... Has displayed the ability to score at or away from the basket ... He did a little bit of everything for Nova this season ... He can score, rebound and assist when he wants with above average abilities to do all three ... As shown in his title game performance, he has a clutch gene to perform when the lights are brightest ... He averaged 1.1 steals per game this past season, showing his aggressiveness on defense ... Even when he was mismatched on D, he loves to battle and compete ... One big aspect NBA scouts will like that is overlooked is his great character with a team ... He was willing to adopt into a system that made the team better by coming off the bench as a sixth man and taking the role given to him, setting an example ... His peers have lauded his high basketball IQ and throughout his basketball career, he has been a winner ... Could develop into a combo or even a point, although he may always struggle to guard the lead guard position ...","At Villanova, he was never a full-time starter and occasionally his minutes varied ... He was never fully exposed to opponent's game planning, benefitting from a championship level team around him ... At times, his shooting became a bit streaky and he went into slumps, which is normal for players... For as great a free throw shooting team that Villanova was this past season (77.9 percent), his shooting from the charity stripe was lacking at 71 percent... He was too often beaten on defense by bigger guards and forwards... He has been overshadowed by Brunson and Bridges for two full seasons and hasn't proven he can lead a team and produce on his own essentially ... Redshirted his freshman season at Villanova and is already 21, making him a year older than your average sophomore ... Position is still a bit of a question mark ... Listed at 6'5 but may be an inch or two smaller, which would make him undersized at the shooting guard position ... "
24,Portland,Trevon Duval,6-2,190,PG,Duke,Fr.,http://www.nbadraft.net/players/trevon-duval,"Has good size for the point guard position with ideal length ... Is able to use his size and strength to get where he wants on the court ... He is able to get into the paint and create for himself and others ... Is a willing passer, and puts passes on target allowing his teammates to catch and shoot quickly ... Is able to use his superior body control to create angles to the rim as well as to set up help defenders into leaving his teammates open ... Has tight handles that allow him to maintain his dribble in traffic and keep possessions alive ... Has good but not great court vision ... Can score at the rim and is unafraid to attack the basket ... Can absorb contact from bigger players without being bumped off his cuts and doesn't shy away from contact like some guards ... One of the top point guards in his class in terms of running a team and putting others in position to make plays ... Is a physical defensive presence that has good lateral quickness ... Outside shot has shown some improvement late in the season ...","His shot is his biggest obstacle ... Shot release can be a bit slow as his jumper isn't one fluid motion, but more of a load and fire style mechanic ... Needs space to be able to get his jumper off as he doesn't get a ton of lift when shooting, plus needing additional time ... Outside shot is a major question mark &ndash; shot under 30% from the three point line at Duke ... Can sometimes rely too heavily on being able to physically overmatch his opponent ... Can sometimes stagnate an offense because defenders can sag off him in half court sets ... Is prone to trying to force passes at times ... Sometimes seems to have made up his mind on his next move and being unwilling to adapt based on the defense ... Occasionally appears more concerned with how a pass or finish looks as opposed to functionality ... Doesn't make good reads defensively and gets out of position going for steals ... Must work on becoming more of a vocal leader ... "
25,LA Lakers,Jontay Porter,6-11,240,PF/C,Missouri,Fr.,http://www.nbadraft.net/players/jontay-porter,,
26,Philadelphia,Omari Spellman,6-9,260,PF/C,Villanova,Fr.,http://www.nbadraft.net/players/omari-spellman,"For being 260 pounds, Spellman is very active, nimble and versatile on his feet ... On the offensive end, he is always moving from the baseline to the top of the key ... Always setting screens, picking and popping/rolling, rebounding, putting the ball on the deck, posting up or shooting from the outside; Always doing something ... Came to Villanova with a good scoring touch, but improved it to having great touch ... Averaged 10.9 points per game with a very effective outside jump shot ranging from midrange to beyond the arc ... Shot the three at 43 percent and made 65 total three-pointers last season ... He can take a couple dribbles when pressured on the outside and get to the rim and finish well and strong, as well and using a number of patented moves in the post to get to the basket ... Spellman creates mismatches on bigger defenders by his quickness, lateral movement, ranging outside the paint and tremendous ability to stretch the floor and open the lane for teammates ... His rebounding was as aggressive as anyones in the Big East, averaging 8.0 rebounds per game and crashing the boards equally effectively on the offensive and defensive end ... He played some of the best defense against top big men in the Big East and stood his own, while becoming Villanova's premier rim protector with 1.5 blocks per game ... When he got pressured on the outside, his vision was good enough to make big plays and keep the offense flowing with good passes ... ","Occasionally, he got out of rhythm with the rest of his teammates on offense and defense ... His lack of awareness and lapses caused him to pick up silly fouls or let up easy points or get his teammates in trouble ... Spellman played in an offensive system that featured five solid outside shooters, which may have enhanced his numbers some ... An argument could be made that Spellman was a product of the Villanova system, his teammates' success made things easier for him and Spellman is unable to effectively create his own shot in college and won't be able to at the next level ... His length is good, but he could struggle at the next level against more explosive forwards and centers with length and skill ... "
27,Boston,Landry Shamet,6-4,190,PG/SG,Wichita State,So.,http://www.nbadraft.net/players/landry-shamet,"After an excellent freshman season, Shamet has become one of the best lead guards in the nation this year ... He has ideal size for the point guard position in the NBA at at 6-4 with long arms ... He is not the most explosive athlete, but he has a very high basketball IQ for a player his age and makes great decisions with the ball ... As a freshman, Shamet posted a three to one assist to turnover ratio for the season. ..While that has gone down slightly this year due to an increased workload, he is still averaging an outstanding 2.5 assists to one turnover ... He always plays the game under control and commands the offense exceptionally well ... Shamet has the ability to play at several different speeds with the ball in his hands and gets his teammates the ball in rhythm and where they can make plays ... He is also terrific in pick-and-roll situations, where he ranks in the 79th percentile as a pick-and-roll ball handler because of his ability to make plays for others while not getting sped up ... Shamet has proven to be a versatile offensive player, making the switch from shooting guard to point guard last year ... While primarily used as a point guard at Wichita State, he is a very efficient offensive player off the ball as well, as he ranks third in college basketball in points per possession (1.521) off of spot-up situations (100th percentile) ... In an NBA that particularly emphasizes offensive versatility nowadays, Shamet's ability to play both on and off the ball at a high level will serve him quite well ... He is a good passer, but the skill that will best translate to the NBA is his shooting ability ... His size allows him to shoot over the top of smaller guards, and he has a beautiful mid-range pull-up jump-shot, which cannot be said about most college guards ... He shoots 45.5 percent on half-court jump shots and is a threat to score from anywhere on the floor ... Shamet is also lethal from three-point territory with range out to the NBA line ... He is shooting 44 percent from three this season, the second consecutive year that he has shot over 41 percent from downtown ... He is also a very good free throw shooter, having recorded two straight seasons with at least an 80 percent clip ... Despite underwhelming athleticism, he is crafty, picks his spots wisely and is surprisingly an excellent finisher at the rim (59.1 percent) ...","While he does in large part make up for it with his high-IQ and skill, Shamet's lack of burst off the dribble will limit his upside at the next level ... At the college level, it does not hinder him that often, but in the NBA he will be up against much more explosive and skilled guards every single night ... Shamet also still has some developing to do, physically, in order to reach his full potential ... He will need to add some strength and muscle in order for him to endure a full NBA season and withstand the physicality of the pro game ... While he is a very good finisher at the basket in college, it will be much more difficult to replicate in the NBA without him adding a few pounds of muscle, especially since he does not have elite explosiveness to compensate for it ... There will also be questions about what to do with Shamet defensively at the next level ... While he has the size and length to challenge point guards, he struggles to stay in front of quicker players ... He may have to be a guy that relies on his length to come up with steals and blocks in order to at least be semi-productive on the defensive end ... However, forcing turnovers or contesting shots has never been a true strength of his ... Shamet has also had multiple foot injuries throughout his career, so there may be concerns of whether that will continue to be an issue going forward ... "
28,Golden St.,Grayson Allen,6-5,210,SG,Duke,Sr.,http://www.nbadraft.net/players/grayson-allen,"Allen came to Durham with the reputation of being a knockdown shooter and after an okay freshmen campaign (35 percent from three) is now looking the part as a sophomore (44 percent from three on high volume) ... For his career, he holds a 62.4 percent true shooting percentage ... Since his breakout game in last year's NCAA Championship Game, Allen has continued to be an offensive force for Duke ... Capable of shooting efficiently in both catch and shoot and off the dribble situations ... Given any room to get off a shot it's likely to find the bottom of the net ... Accepted the challenge early in the year of being the Blue Devils go-to guy and has flourished in the role ... A leader who plays with both passion and confidence ... Plays with great energy and always seems mentally prepared and a step ahead ... Creative when driving to the basket, utilizing his big hands to palm the ball ... Has put a few unsuspecting defenders on posters ... Straight line speed is above average and helps him flourish in transition ... Uses his jumping ability to snag rebounds that you would think were out of his range ... Positions himself well to be in the right place for rebounds ... Excellent free throw shooter (85.8 percent for his career) ... Willing defender ... Understands team defensive concepts ... Body shows that he works hard in the weight room to maximize his natural strength ... ","Lacks ideal size and athleticism for a shooting guard. While he gets a lot of dunks on drives, he doesn't possess the first step to get past elite defenders nor the athleticism to stand out at the position in the NBA ... Need to work on his in-between game ... At this point he generally does all of his damage shooting the three or taking the ball right to the basket ... Avoids contact when attacking the hoop ... Tries too often to jump around defenders instead of through the impending contact ... Despite an up tick in play is averaging less than one additional free throw attempt per 40 minutes this year (6.6 free throw attempts as a freshman and 7.2 FTA this year) ... Needs to become more comfortable with the ball in his hands ... If you take away his first two options he often struggles to improvise ... Not much of a creator with the ball ... Doesn't have the handle to make plays for others ... Lacks a certain feel for the game in terms of making those around him better ... At just 6'5"", and with a small wingspan, he's on the shorter side for a two guard ... Hasn't shown the ability to be a consistent defender ... Can be caught fighting for rebounds unsuccessfully instead of rotating back for transition defense ... Not very agile, lacking lateral speed ... "
29,Brooklyn,Jalen Brunson,6-2,190,PG,Villanova,Jr.,http://www.nbadraft.net/players/jalen-brunson,,
